,loan_id,published_date,current_balance,original_balance,property_state,orig_int_rate,orig_dscr,orig_ltv,special_servicer,freddie_held,principal_paydown,label
56,30309569,2017-01-25,87000000,87000000,VA,0.027737,1.47,0.716,keybank,0.0,0,0.0
57,304991016,2017-01-25,87000000,87000000,MD,0.025437,1.52,0.773,c-iii_asset_management_llc,0.0,0,0.0
58,10074287,2017-01-25,86867000,86867000,CA,0.0342,2.23,0.488,wells_fargo_bank,0.0,0,0.0
59,10074292,2017-01-25,86532090,90000000,PA,0.0342,1.31,0.75,wells_fargo_bank,0.0,3467910,0.0
60,10097995,2017-01-25,86510000,86510000,PA,0.0399,1.26,0.77,wells_fargo_bank,0.0,0,0.0
61,301561001,2017-01-25,86467371,92550000,CA,0.0359,1.25,0.6,keybank,0.0,6082629,0.0
62,30308280,2017-01-25,86171461,92000000,CA,0.0312,1.4,0.538,wells_fargo_bank,0.0,5828539,0.0
63,30308281,2017-01-25,85198437,91000000,CA,0.0308,1.47,0.562,wells_fargo_bank,0.0,5801563,0.0
64,10059172,2017-01-25,85000000,85000000,CA,0.055,3.47,0.298,wells_fargo_bank,0.0,0,0.0
65,301151002,2017-01-25,84997465,85702000,CA,0.0403,1.3,0.678,wells_fargo_bank,0.0,704535,0.0
66,10062287,2017-01-25,84939314,85050000,NY,0.041,1.31,0.75,wells_fargo_bank,0.0,110686,0.0
67,10073811,2017-01-25,84000000,84000000,VA,0.0315,2.67,0.646,cwcapital,0.0,0,0.0
68,457000001,2017-01-25,83849569,89722000,CA,0.0549,1.25,0.67,keybank,0.0,5872431,0.0
69,10054731,2017-01-25,83387194,89914000,MA,0.0557,1.304,0.683,wells_fargo_bank,0.0,6526806,0.0
70,300651003,2017-01-25,83242464,84367000,NJ,0.037,1.3,0.745,cwcapital,0.0,1124536,0.0
71,30309838,2017-01-25,83000000,83000000,MD,0.026237,1.47,0.793,"berkeley_point_capital,_llc",0.0,0,0.0
72,10098665,2017-01-25,82500000,82500000,NY,0.0372,1.28,0.747,wells_fargo_bank,0.0,0,0.0
73,30308282,2017-01-25,82389697,88000000,CA,0.0308,1.45,0.572,wells_fargo_bank,0.0,5610303,0.0
74,304901101,2017-01-25,81980000,81980000,VA,0.0348,1.25,0.656,wells_fargo_bank,0.0,0,0.0
75,302781001,2017-01-25,81500000,81500000,FL,0.0452,1.45,0.697,keybank,0.0,0,0.0
76,838100001,2017-01-25,79709420,82926000,CT,0.0499,1.3,0.74,keybank,0.0,3216580,1.0
77,456000002,2017-01-25,79486477,88000000,PA,0.0555,1.26,0.789,keybank,0.0,8513523,0.0
78,10081397,2017-01-25,79320033,85000000,MI,0.0362,1.74,0.689,midland_loan_services,0.0,5679967,0.0
79,689100001,2017-01-25,78385321,84000000,MD,0.0446,1.27,0.758,cwcapital,0.0,5614679,0.0
80,303681002,2017-01-25,77440000,77440000,MD,0.0357,1.31,0.798,wells_fargo_bank,0.0,0,0.0
81,304611001,2017-01-25,76111000,76111000,CA,0.0404,1.27,0.7,wells_fargo_bank,0.0,0,0.0
82,833100002,2017-01-25,76104817,80500000,VA,0.0401,1.266,0.734,midland_loan_services,0.0,4395183,0.0
83,10081017,2017-01-25,75881000,75881000,OH,0.0475,1.3,0.742,wells_fargo_bank,0.0,0,0.0
84,818100001,2017-01-25,75689550,78650000,VA,0.0401,1.447,0.649,cwcapital,0.0,2960450,0.0
85,10093640,2017-01-25,75618000,75618000,MA,0.0379,1.25,0.78,wells_fargo_bank,0.0,0,0.0
86,10102889,2017-01-25,74255000,74255000,CA,0.0386,1.25,0.694,midland_loan_services,0.0,0,0.0
87,504150588,2017-01-25,74037053,80000000,VA,0.0598,1.25,0.69,freddie_mac,0.0,5962947,0.0
88,10064064,2017-01-25,73744000,73744000,CA,0.0609,1.41,0.62,freddie_mac,0.0,0,0.0
89,300911002,2017-01-25,73386943,79020000,CA,0.0324,1.25,0.597,keybank,0.0,5633057,0.0
90,30305799,2017-01-25,72640446,77426000,CA,0.029237,1.59,0.6,"berkeley_point_capital,_llc",0.0,4785554,0.0
91,456000004,2017-01-25,71623417,80000000,NY,0.0518,1.26,0.736,keybank,0.0,8376583,0.0
92,10096995,2017-01-25,71500000,71500000,IL,0.025837,1.55,0.624,keybank,0.0,0,0.0
93,10093492,2017-01-25,70500000,70500000,MA,0.0337,2.16,0.641,wells_fargo_bank,0.0,0,0.0
95,10073947,2017-01-25,70300000,70300000,WA,0.0352,1.3,0.664,wells_fargo_bank,0.0,0,0.0
96,10069457,2017-01-25,70018618,73100000,VA,0.0338,1.33,0.59,wells_fargo_bank,0.0,3081382,0.0
97,10064065,2017-01-25,70000000,70000000,NJ,0.057,2.08,0.5,freddie_mac,0.0,0,0.0
98,820107627,2017-01-25,70000000,70000000,NY,0.0377,1.94,0.636,cwcapital,0.0,0,0.0
99,862100001,2017-01-25,69789249,73545000,VA,0.0484,1.26,0.642,wells_fargo_bank,0.0,3755751,0.0
100,291000009,2017-01-25,69741027,71104000,MD,0.0384,1.25,0.717,midland_loan_services,0.0,1362973,0.0
101,10082867,2017-01-25,69330000,69330000,FL,0.029837,1.64,0.75,keybank,0.0,0,0.0
102,301451001,2017-01-25,68500000,68500000,MD,0.0311,1.73,0.692,cwcapital,0.0,0,0.0
103,10096468,2017-01-25,68500000,68500000,VA,0.0401,1.28,0.608,wells_fargo_bank,0.0,0,0.0
104,301901001,2017-01-25,68387051,71786000,WI,0.0464,1.3,0.729,wells_fargo_bank,0.0,3398949,0.0
105,889100002,2017-01-25,126432589,72030000,FL,0.0449,1.525,0.602,midland_loan_services,0.0,-54402589,0.0
106,305331001,2017-01-25,68211207,70000000,HI,0.0337,1.43,0.675,cwcapital,0.0,1788793,0.0
107,968711731,2017-01-25,68096300,87300000,NY,0.0509,1.49,0.488,keybank,0.0,19203700,0.0
108,10073761,2017-01-25,68083000,68083000,CA,0.0369,1.25,0.787,wells_fargo_bank,0.0,0,0.0
109,302841103,2017-01-25,68005680,70500000,CT,0.027637,1.57,0.712,midland_loan_services,0.0,2494320,0.0
110,305331002,2017-01-25,67900000,67900000,IL,0.0327,1.41,0.692,cwcapital,0.0,0,0.0
111,300701002,2017-01-25,67804910,70000000,VA,0.0377,1.31,0.798,keybank,0.0,2195090,0.0
112,30310423,2017-01-25,67750000,33875000,TX,0.029637,1.8,0.696,keybank,0.0,-33875000,0.0
113,30308554,2017-01-25,66280000,66280000,GA,0.026237,1.54,0.79,midland_loan_services,0.0,0,0.0
114,10082644,2017-01-25,66238097,67768000,TX,0.0435,1.45,0.747,wells_fargo_bank,0.0,1529903,0.0
115,303171002,2017-01-25,66190391,66460000,TX,0.0407,1.46,0.791,cwcapital,0.0,269609,0.0
116,302521001,2017-01-25,66027302,66987000,MA,0.0443,1.25,0.797,wells_fargo_bank,0.0,959698,0.0
117,10096469,2017-01-25,65825000,65825000,IN,0.0421,1.61,0.746,wells_fargo_bank,0.0,0,0.0
118,30284998,2017-01-25,65715485,70795000,CA,0.0431,1.31,0.759,wells_fargo_bank,0.0,5079515,0.0
119,714100001,2017-01-25,65455168,68801000,WA,0.034,1.27,0.74,wells_fargo_bank_,0.0,3345832,0.0
