,loan_id,published_date,current_balance,original_balance,property_state,orig_int_rate,orig_dscr,orig_ltv,special_servicer,freddie_held,principal_paydown,label,orig_occ_rate,most_rct_occ_rate,occ_rate_delta,orig_noi,most_rct_noi,noi_delta,most_rct_value,orig_value,value_delta,most_rct_ltv,ltv_delta,most_rct_debt_serv,orig_debt_serv,debt_serv_delta,most_rct_dscr,dscr_delta
18,10063232,2017-01-25,131745169,135647000,NY,0.0423,1.25,0.658,midland_loan_services,0.0,3901831,0.0,0.9837,0.95,-0.0337,10748133.0,6472553,-4275580.0,206000000,206150455.927,-150455.927052,0.63953965534,-0.0184603446602,5991429.87,8598506.4,-2607076.53,1.06,-0.19
19,302841101,2017-01-25,130500000,130500000,CA,0.026637,3.08,0.623,midland_loan_services,0.0,0,0.0,0.917,0.9,-0.017,9230572.67,9346259,115686.33,209400000,209470304.976,-70304.9759229,0.623209169054,0.000209169054441,3278492.0,2996939.17857,281552.821429,2.823,-0.257
20,501164341,2017-01-25,130202626,135000000,MD,0.0387,1.445,0.608,berkadia,0.0,4797374,0.0,0.975,0.968,-0.007,11374730.0,9202367,-2172363.0,222100000,222039473.684,60526.3157895,0.586234245835,-0.0217657541648,5709906.27,7871785.46713,-2161879.19713,1.563,0.118
21,434000001,2017-01-25,130181979,138935000,CA,0.0569,1.25,0.686,cwcapital,0.0,8753021,0.0,0.986,0.94,-0.046,12318763.0,15506339,3187576.0,202400000,202529154.519,-129154.51895,0.64319159585,-0.0428084041502,7249492.0,9855010.4,-2605518.4,2.115,0.865
22,305131001,2017-01-25,127000000,127000000,VA,0.0321,1.2,0.668,keybank,0.0,0,0.0,0.942,0.96,0.018,8024587.47,5847440,-2177147.47,190000000,190119760.479,-119760.479042,0.668421052632,0.000421052631579,3114146.0,6687156.225,-3573010.225,1.857,0.657
23,30288538,2017-01-25,125871595,138621000,NY,0.0392,1.25,0.725,keybank,0.0,12749405,0.0,0.971,0.97,-0.001,0.0,12530334,12530334.0,190000000,191201379.31,-1201379.31034,0.662482078947,-0.0625179210526,7865046.0,0.0,7865046.0,1.57,0.32
24,820103391,2017-01-25,123000000,123000000,NY,0.0341,1.42,0.698,keybank,0.0,0,0.0,1.0,0.97,-0.03,9524892.0,8154209,-1370683.0,176100000,176217765.043,-117765.04298,0.698466780239,0.000466780238501,3203979.0,6707670.42254,-3503691.42254,2.488,1.068
25,10091330,2017-01-25,121016791,126840000,CA,0.0393,1.25,0.598,"berkeley_point_capital,_llc",0.0,5823209,0.0,0.933,0.91,-0.023,9829264.0,0,-9829264.0,211400000,212107023.411,-707023.411371,0.572454072848,-0.0255459271523,0.0,7863411.2,-7863411.2,0.0,-1.25
26,30304047,2017-01-25,120780000,120780000,MD,0.0344,1.25,0.719,midland_loan_services,0.0,0,0.0,0.939,0.96,0.021,0.0,11262318,11262318.0,168100000,167983310.153,116689.84701,0.718500892326,-0.000499107674004,4734874.0,0.0,4734874.0,2.33,1.08
27,10062928,2017-01-25,119795000,119795000,MD,0.0376,1.916,0.65,torchlight,0.0,0,0.0,0.902,0.0,-0.902,9094467.0,0,-9094467.0,0,184300000.0,-184300000.0,inf,inf,0.0,4746590.29228,-4746590.29228,0.0,-1.916
28,30283191,2017-01-25,119544130,133360000,NY,0.0507,1.25,0.794,cwcapital,0.0,13815870,0.0,0.9979,0.0,-0.9979,0.0,0,0.0,166700000,167959697.733,-1259697.733,0.717121355729,-0.0768786442711,0.0,0.0,0.0,0.0,-1.25
29,889100001,2017-01-25,118239769,122773000,VA,0.0453,1.201,0.639,midland_loan_services,0.0,4533231,0.0,0.941,0.96,0.019,9140983.0,6892009,-2248974.0,192000000,192133020.344,-133020.344288,0.615832130208,-0.0231678697917,5618368.0,7611143.21399,-1992775.21399,1.207,0.006
30,10096467,2017-01-25,118000000,118000000,IL,0.0322,2.16,0.546,wells_fargo_bank,0.0,0,0.0,0.9355,0.92,-0.0155,3696372.0,0,-3696372.0,216300000,216117216.117,182783.882784,0.545538603791,-0.000461396208969,0.0,1711283.33333,-1711283.33333,0.0,-2.16
