,lnno,mrtg_status,quarter,amt_upb_endg,amt_upb_pch,code_st,rate_int,rate_dcr
3689,9414504,100,2016-03-31,33044707.33,36420168.69,MN,0.06899,1.897
3776,10097940,100,2016-03-31,2866688.58,3400000.0,ND,0.0596,1.766
3924,10278002,100,2016-03-31,1497445.2,1874245.0,NH,0.0663,1.651
3953,10414504,100,2016-03-31,11798459.71,13190000.0,MN,0.0607,1.424
3982,10415504,100,2016-03-31,1913661.67,2090000.0,LA,0.0663,1.341
4335,11278002,100,2016-03-31,1362331.13,2500000.0,NY,0.0599,1.25
4363,11415504,100,2016-03-31,4782800.9,5250000.0,LA,0.0635,1.307
4624,12418504,100,2016-03-31,11061155.02,12000000.0,MA,0.0679,1.343
5034,13805708,100,2016-03-31,1362972.36,1453000.0,MO,0.0502,1.36
5099,14098940,100,2016-03-31,4770399.67,5250000.0,OH,0.0581,1.833
